cvgeo,id,year,SOLICITUD,PROMOVENTE,EVENTO,Resistencia_Insectos,Tolerancia_Glufosinato,Tolerancia_Glifosato,Tolerancia_Dicamba,Otra_Caracteristica,Fenotip,ORGANISMO,specie,CICLO_AGRICOLA,SUPERFICIE_SOLICITADA.Has.,area,FECHA_RESOLUCION,SUPERFICIE_SEMBRADA.Has.,type,ent,mun,lat,lon,counter
28002,1,2018,001/2018,"Bayer de México, S.A. de C.V.",BCS-GH002-5 x BCS-GH004-7 x BCS-GH005-8,Sí,No,Sí,No,No,Resistencia a Insectos. Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2018,1.5,1,27/07/2018,NA.,Experimental,Tamaulipas,Aldama,23.0023,-98.03577,1
28003,1,2018,001/2018,"Bayer de México, S.A. de C.V.",BCS-GH002-5 x BCS-GH004-7 x BCS-GH005-8,Sí,No,Sí,No,No,Resistencia a Insectos. Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2018,1.5,1,27/07/2018,NA.,Experimental,Tamaulipas,Altamira,22.542,-98.08245,1
28002,4,2018,004/2018,"Bayer de México, S.A. de C.V.",BCS-GH002-5 x ACS-GH001-3 ,No,Sí,Sí,No,No,Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2018,350,350,11/07/2018,Sin dato.,Programa Piloto,Tamaulipas,Aldama,23.0023,-98.03577,1
28003,4,2018,004/2018,"Bayer de México, S.A. de C.V.",BCS-GH002-5 x ACS-GH001-3 ,No,Sí,Sí,No,No,Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2018,350,350,11/07/2018,Sin dato.,Programa Piloto,Tamaulipas,Altamira,22.542,-98.08245,1
28012,4,2018,004/2018,"Bayer de México, S.A. de C.V.",BCS-GH002-5 x ACS-GH001-3 ,No,Sí,Sí,No,No,Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2018,350,350,11/07/2018,Sin dato.,Programa Piloto,Tamaulipas,González,22.78643,-98.55449,1
28021,4,2018,004/2018,"Bayer de México, S.A. de C.V.",BCS-GH002-5 x ACS-GH001-3 ,No,Sí,Sí,No,No,Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2018,350,350,11/07/2018,Sin dato.,Programa Piloto,Tamaulipas,El Mante,22.47947,-98.80379,1
25001,5,2018,005/2018,"Monsanto Comercial, S. de R. L. de C. V.",SYN-IR1Ø2-7 x MON-15985-7 x MON-88913-8 x MON-887Ø1-3,Sí,Sí,Sí,Sí,No,Resistencia a Insectos. Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2019,112.66,19.34,14/02/2019,Sin dato.,Programa Piloto,Sinaloa,Ahome,25.89565,-109.1332,1
25010,5,2018,005/2018,"Monsanto Comercial, S. de R. L. de C. V.",SYN-IR1Ø2-7 x MON-15985-7 x MON-88913-8 x MON-887Ø1-3,Sí,Sí,Sí,Sí,No,Resistencia a Insectos. Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2019,112.66,19.34,14/02/2019,Sin dato.,Programa Piloto,Sinaloa,El Fuerte,26.25532,-108.679,1
26003,5,2018,005/2018,"Monsanto Comercial, S. de R. L. de C. V.",SYN-IR1Ø2-7 x MON-15985-7 x MON-88913-8 x MON-887Ø1-3,Sí,Sí,Sí,Sí,No,Resistencia a Insectos. Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2019,112.66,19.34,14/02/2019,Sin dato.,Programa Piloto,Sonora,Alamos,27.05106,-108.877,1
26018,5,2018,005/2018,"Monsanto Comercial, S. de R. L. de C. V.",SYN-IR1Ø2-7 x MON-15985-7 x MON-88913-8 x MON-887Ø1-3,Sí,Sí,Sí,Sí,No,Resistencia a Insectos. Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2019,112.66,19.34,14/02/2019,Sin dato.,Programa Piloto,Sonora,Cajeme,27.79282,-109.8868,1
26026,5,2018,005/2018,"Monsanto Comercial, S. de R. L. de C. V.",SYN-IR1Ø2-7 x MON-15985-7 x MON-88913-8 x MON-887Ø1-3,Sí,Sí,Sí,Sí,No,Resistencia a Insectos. Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2019,112.66,19.34,14/02/2019,Sin dato.,Programa Piloto,Sonora,Etchojoa,27.01514,-109.6885,1
26033,5,2018,005/2018,"Monsanto Comercial, S. de R. L. de C. V.",SYN-IR1Ø2-7 x MON-15985-7 x MON-88913-8 x MON-887Ø1-3,Sí,Sí,Sí,Sí,No,Resistencia a Insectos. Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2019,112.66,19.34,14/02/2019,Sin dato.,Programa Piloto,Sonora,Huatabampo,26.74891,-109.4403,1
26042,5,2018,005/2018,"Monsanto Comercial, S. de R. L. de C. V.",SYN-IR1Ø2-7 x MON-15985-7 x MON-88913-8 x MON-887Ø1-3,Sí,Sí,Sí,Sí,No,Resistencia a Insectos. Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2019,112.66,19.34,14/02/2019,Sin dato.,Programa Piloto,Sonora,Navojoa,27.0781,-109.4027,1
26071,5,2018,005/2018,"Monsanto Comercial, S. de R. L. de C. V.",SYN-IR1Ø2-7 x MON-15985-7 x MON-88913-8 x MON-887Ø1-3,Sí,Sí,Sí,Sí,No,Resistencia a Insectos. Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2019,112.66,19.34,14/02/2019,Sin dato.,Programa Piloto,Sonora,Benito Juárez,27.1064,-109.8514,1
26072,5,2018,005/2018,"Monsanto Comercial, S. de R. L. de C. V.",SYN-IR1Ø2-7 x MON-15985-7 x MON-88913-8 x MON-887Ø1-3,Sí,Sí,Sí,Sí,No,Resistencia a Insectos. Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2019,112.66,19.34,14/02/2019,Sin dato.,Programa Piloto,Sonora,San Ignacio Río Muerto,27.35978,-110.3588,1
25001,6,2018,006/2018,"Monsanto Comercial, S. de R. L. de C. V.",MON-887Ø1-3 x MON-88913-8,No,Sí,Sí,Sí,No,Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2019,19.34,19.34,14/02/2019,Sin dato.,Programa Piloto,Sinaloa,Ahome,25.89565,-109.1332,1
25010,6,2018,006/2018,"Monsanto Comercial, S. de R. L. de C. V.",MON-887Ø1-3 x MON-88913-8,No,Sí,Sí,Sí,No,Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2019,19.34,19.34,14/02/2019,Sin dato.,Programa Piloto,Sinaloa,El Fuerte,26.25532,-108.679,1
26003,6,2018,006/2018,"Monsanto Comercial, S. de R. L. de C. V.",MON-887Ø1-3 x MON-88913-8,No,Sí,Sí,Sí,No,Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2019,19.34,19.34,14/02/2019,Sin dato.,Programa Piloto,Sonora,Alamos,27.05106,-108.877,1
26018,6,2018,006/2018,"Monsanto Comercial, S. de R. L. de C. V.",MON-887Ø1-3 x MON-88913-8,No,Sí,Sí,Sí,No,Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2019,19.34,19.34,14/02/2019,Sin dato.,Programa Piloto,Sonora,Cajeme,27.79282,-109.8868,1
26026,6,2018,006/2018,"Monsanto Comercial, S. de R. L. de C. V.",MON-887Ø1-3 x MON-88913-8,No,Sí,Sí,Sí,No,Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2019,19.34,19.34,14/02/2019,Sin dato.,Programa Piloto,Sonora,Etchojoa,27.01514,-109.6885,1
26033,6,2018,006/2018,"Monsanto Comercial, S. de R. L. de C. V.",MON-887Ø1-3 x MON-88913-8,No,Sí,Sí,Sí,No,Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2019,19.34,19.34,14/02/2019,Sin dato.,Programa Piloto,Sonora,Huatabampo,26.74891,-109.4403,1
26042,6,2018,006/2018,"Monsanto Comercial, S. de R. L. de C. V.",MON-887Ø1-3 x MON-88913-8,No,Sí,Sí,Sí,No,Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2019,19.34,19.34,14/02/2019,Sin dato.,Programa Piloto,Sonora,Navojoa,27.0781,-109.4027,1
26071,6,2018,006/2018,"Monsanto Comercial, S. de R. L. de C. V.",MON-887Ø1-3 x MON-88913-8,No,Sí,Sí,Sí,No,Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2019,19.34,19.34,14/02/2019,Sin dato.,Programa Piloto,Sonora,Benito Juárez,27.1064,-109.8514,1
26072,6,2018,006/2018,"Monsanto Comercial, S. de R. L. de C. V.",MON-887Ø1-3 x MON-88913-8,No,Sí,Sí,Sí,No,Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2019,19.34,19.34,14/02/2019,Sin dato.,Programa Piloto,Sonora,San Ignacio Río Muerto,27.35978,-110.3588,1
17024,7,2018,007/2018,"Centro Internacional de Mejoramiento de Maíz y Trigo, (CIMMYT).",AVP1,No,No,No,No,Sí,Otra característica,Triticum aestivum,Trigo,Otoño - Invierno 2018 - 2019,0.15,0.15,15/11/2018,NA.,Experimental,Morelos,Tlaltizapán de Zapata,18.7084,-99.14861,1
17024,8,2018,008/2018,"Centro Internacional de Mejoramiento de Maíz y Trigo, (CIMMYT).",NAS2,No,No,No,No,Sí,Otra característica,Triticum aestivum,Trigo,Otoño - Invierno 2018 - 2019,0.15,0.15,15/11/2018,NA.,Experimental,Morelos,Tlaltizapán de Zapata,18.7084,-99.14861,1
17024,9,2018,009/2018,"Centro Internacional de Mejoramiento de Maíz y Trigo, (CIMMYT).",PSTOL1,No,No,No,No,Sí,Otra característica,Triticum aestivum,Trigo,Otoño - Invierno 2018 - 2019,0.15,0.15,15/11/2018,NA.,Experimental,Morelos,Tlaltizapán de Zapata,18.7084,-99.14861,1
17024,10,2018,010/2018,"Centro Internacional de Mejoramiento de Maíz y Trigo, (CIMMYT).",AVP1-NAS2,No,No,No,No,Sí,Otra característica,Triticum aestivum,Trigo,Otoño - Invierno 2018 - 2019,0.15,0.15,15/11/2018,NA.,Experimental,Morelos,Tlaltizapán de Zapata,18.7084,-99.14861,1
17024,11,2018,011/2018,"Centro Internacional de Mejoramiento de Maíz y Trigo, (CIMMYT).",AVP1-PSTOL1,No,No,No,No,Sí,Otra característica,Triticum aestivum,Trigo,Otoño - Invierno 2018 - 2019,0.15,0.15,22/11/2018,NA.,Experimental,Morelos,Tlaltizapán de Zapata,18.7084,-99.14861,1
17024,12,2018,012/2018,"Centro Internacional de Mejoramiento de Maíz y Trigo, (CIMMYT).",NAS2-PSTOL1,No,No,No,No,Sí,Otra característica,Triticum aestivum,Trigo,Otoño - Invierno 2018 - 2019,0.15,0.15,15/11/2018,NA.,Experimental,Morelos,Tlaltizapán de Zapata,18.7084,-99.14861,1
17024,13,2018,013/2018,"Centro Internacional de Mejoramiento de Maíz y Trigo, (CIMMYT).",AVP1-NAS2-PSTOL1,No,No,No,No,Sí,Otra característica,Triticum aestivum,Trigo,Otoño - Invierno 2018 - 2019,0.15,0.15,15/11/2018,NA.,Experimental,Morelos,Tlaltizapán de Zapata,18.7084,-99.14861,1
2002,14,2018,014/2018,"Monsanto Comercial, S. de R. L. de C. V.",SYN-IR1Ø2-7 x MON-15985-7 x MON-88913-8 x MON-887Ø1-3,Sí,Sí,Sí,Sí,No,Resistencia a Insectos. Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2019 y posteriores,"60,000.00",NA,15/11/2018,NA.,Comercial,Baja California,Mexicali,31.90231,-115.2876,1
26055,14,2018,014/2018,"Monsanto Comercial, S. de R. L. de C. V.",SYN-IR1Ø2-7 x MON-15985-7 x MON-88913-8 x MON-887Ø1-3,Sí,Sí,Sí,Sí,No,Resistencia a Insectos. Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2019 y posteriores,"60,000.00",NA,15/11/2018,NA.,Comercial,Sonora,San Luis Río Colorado,32.01756,-114.3507,1
2002,15,2018,015/2018,"Monsanto Comercial, S. de R. L. de C. V.",MON-887Ø1-3 x MON-88913-8,No,Sí,Sí,Sí,No,Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2019 y posteriores,"12,000.00",NA,15/11/2018,NA.,Comercial,Baja California,Mexicali,31.90231,-115.2876,1
26055,15,2018,015/2018,"Monsanto Comercial, S. de R. L. de C. V.",MON-887Ø1-3 x MON-88913-8,No,Sí,Sí,Sí,No,Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2019 y posteriores,"12,000.00",NA,15/11/2018,NA.,Comercial,Sonora,San Luis Río Colorado,32.01756,-114.3507,1
28022,16,2018,016/2018,"Bayer de México, S.A. de C.V.",BCS-GH002-5 x BCS-GH004-7 x BCS-GH005-8,Sí,No,Sí,No,No,Resistencia a Insectos. Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2019,"6,000.00",17,14/02/2019,Sin dato.,Programa Piloto,Tamaulipas,Matamoros,25.61236,-97.53291,1
28023,16,2018,016/2018,"Bayer de México, S.A. de C.V.",BCS-GH002-5 x BCS-GH004-7 x BCS-GH005-8,Sí,No,Sí,No,No,Resistencia a Insectos. Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2019,"6,000.00",17,14/02/2019,Sin dato.,Programa Piloto,Tamaulipas,Méndez,25.22376,-98.44004,1
28032,16,2018,016/2018,"Bayer de México, S.A. de C.V.",BCS-GH002-5 x BCS-GH004-7 x BCS-GH005-8,Sí,No,Sí,No,No,Resistencia a Insectos. Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2019,"6,000.00",17,14/02/2019,Sin dato.,Programa Piloto,Tamaulipas,Reynosa,25.81024,-98.37336,1
28033,16,2018,016/2018,"Bayer de México, S.A. de C.V.",BCS-GH002-5 x BCS-GH004-7 x BCS-GH005-8,Sí,No,Sí,No,No,Resistencia a Insectos. Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2019,"6,000.00",17,14/02/2019,Sin dato.,Programa Piloto,Tamaulipas,Río Bravo,25.74441,-98.03785,1
28035,16,2018,016/2018,"Bayer de México, S.A. de C.V.",BCS-GH002-5 x BCS-GH004-7 x BCS-GH005-8,Sí,No,Sí,No,No,Resistencia a Insectos. Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2019,"6,000.00",17,14/02/2019,Sin dato.,Programa Piloto,Tamaulipas,San Fernando,24.8912,-97.95827,1
28040,16,2018,016/2018,"Bayer de México, S.A. de C.V.",BCS-GH002-5 x BCS-GH004-7 x BCS-GH005-8,Sí,No,Sí,No,No,Resistencia a Insectos. Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2019,"6,000.00",17,14/02/2019,Sin dato.,Programa Piloto,Tamaulipas,Valle Hermoso,25.70068,-97.8448,1
28022,19,2018,019/2018,"Bayer de México, S.A. de C.V.",BCS-GH002-5 x ACS-GH001-3,No,Sí,Sí,No,No,Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2019,900,8.4,14/02/2019,Sin dato.,Programa Piloto,Tamaulipas,Matamoros,25.61236,-97.53291,1
28023,19,2018,019/2018,"Bayer de México, S.A. de C.V.",BCS-GH002-5 x ACS-GH001-3,No,Sí,Sí,No,No,Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2019,900,8.4,14/02/2019,Sin dato.,Programa Piloto,Tamaulipas,Méndez,25.22376,-98.44004,1
28032,19,2018,019/2018,"Bayer de México, S.A. de C.V.",BCS-GH002-5 x ACS-GH001-3,No,Sí,Sí,No,No,Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2019,900,8.4,14/02/2019,Sin dato.,Programa Piloto,Tamaulipas,Reynosa,25.81024,-98.37336,1
28033,19,2018,019/2018,"Bayer de México, S.A. de C.V.",BCS-GH002-5 x ACS-GH001-3,No,Sí,Sí,No,No,Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2019,900,8.4,14/02/2019,Sin dato.,Programa Piloto,Tamaulipas,Río Bravo,25.74441,-98.03785,1
28035,19,2018,019/2018,"Bayer de México, S.A. de C.V.",BCS-GH002-5 x ACS-GH001-3,No,Sí,Sí,No,No,Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2019,900,8.4,14/02/2019,Sin dato.,Programa Piloto,Tamaulipas,San Fernando,24.8912,-97.95827,1
28040,19,2018,019/2018,"Bayer de México, S.A. de C.V.",BCS-GH002-5 x ACS-GH001-3,No,Sí,Sí,No,No,Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2019,900,8.4,14/02/2019,Sin dato.,Programa Piloto,Tamaulipas,Valle Hermoso,25.70068,-97.8448,1
2002,20,2018,020/2018,"Bayer de México, S.A. de C.V.",BCS-GH002-5 x BCS-GH004-7 x BCS-GH005-8,Sí,No,Sí,No,No,Resistencia a Insectos. Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2019,"12,000.00",15,14/02/2019,Sin dato.,Programa Piloto,Baja California,Mexicali,31.90231,-115.2876,1
26012,20,2018,020/2018,"Bayer de México, S.A. de C.V.",BCS-GH002-5 x BCS-GH004-7 x BCS-GH005-8,Sí,No,Sí,No,No,Resistencia a Insectos. Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2019,"12,000.00",15,14/02/2019,Sin dato.,Programa Piloto,Sonora,Bácum,27.61739,-110.0834,1
26017,20,2018,020/2018,"Bayer de México, S.A. de C.V.",BCS-GH002-5 x BCS-GH004-7 x BCS-GH005-8,Sí,No,Sí,No,No,Resistencia a Insectos. Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2019,"12,000.00",15,14/02/2019,Sin dato.,Programa Piloto,Sonora,Caborca,30.82495,-112.5395,1
26018,20,2018,020/2018,"Bayer de México, S.A. de C.V.",BCS-GH002-5 x BCS-GH004-7 x BCS-GH005-8,Sí,No,Sí,No,No,Resistencia a Insectos. Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2019,"12,000.00",15,14/02/2019,Sin dato.,Programa Piloto,Sonora,Cajeme,27.79282,-109.8868,1
26048,20,2018,020/2018,"Bayer de México, S.A. de C.V.",BCS-GH002-5 x BCS-GH004-7 x BCS-GH005-8,Sí,No,Sí,No,No,Resistencia a Insectos. Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2019,"12,000.00",15,14/02/2019,Sin dato.,Programa Piloto,Sonora,Puerto Peñasco,31.52943,-113.2931,1
26055,20,2018,020/2018,"Bayer de México, S.A. de C.V.",BCS-GH002-5 x BCS-GH004-7 x BCS-GH005-8,Sí,No,Sí,No,No,Resistencia a Insectos. Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2019,"12,000.00",15,14/02/2019,Sin dato.,Programa Piloto,Sonora,San Luis Río Colorado,32.01756,-114.3507,1
26070,20,2018,020/2018,"Bayer de México, S.A. de C.V.",BCS-GH002-5 x BCS-GH004-7 x BCS-GH005-8,Sí,No,Sí,No,No,Resistencia a Insectos. Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2019,"12,000.00",15,14/02/2019,Sin dato.,Programa Piloto,Sonora,General Plutarco Elías Calles,31.71999,-112.9083,1
26072,20,2018,020/2018,"Bayer de México, S.A. de C.V.",BCS-GH002-5 x BCS-GH004-7 x BCS-GH005-8,Sí,No,Sí,No,No,Resistencia a Insectos. Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2019,"12,000.00",15,14/02/2019,Sin dato.,Programa Piloto,Sonora,San Ignacio Río Muerto,27.35978,-110.3588,1
2002,21,2018,021/2018,"Bayer de México, S.A. de C.V.",BCS-GH002-5 x ACS-GH001-3,No,Sí,Sí,No,No,Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2019,900,11,14/02/2019,Sin dato.,Programa Piloto,Baja California,Mexicali,31.90231,-115.2876,1
26055,21,2018,021/2018,"Bayer de México, S.A. de C.V.",BCS-GH002-5 x ACS-GH001-3,No,Sí,Sí,No,No,Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2019,900,11,14/02/2019,Sin dato.,Programa Piloto,Sonora,San Luis Río Colorado,32.01756,-114.3507,1
5007,22,2018,022/2018,"Bayer de México, S.A. de C.V.",BCS-GH002-5 x BCS-GH004-7 x BCS-GH005-8,Sí,No,Sí,No,No,Resistencia a Insectos. Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2019,"150,000.00",22.2,14/02/2019,Sin dato.,Programa Piloto,Coahuila de Zaragoza,Cuatro Ciénegas,26.6991,-102.299,1
5009,22,2018,022/2018,"Bayer de México, S.A. de C.V.",BCS-GH002-5 x BCS-GH004-7 x BCS-GH005-8,Sí,No,Sí,No,No,Resistencia a Insectos. Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2019,"150,000.00",22.2,14/02/2019,Sin dato.,Programa Piloto,Coahuila de Zaragoza,Francisco I. Madero,26.32015,-103.1809,1
5011,22,2018,022/2018,"Bayer de México, S.A. de C.V.",BCS-GH002-5 x BCS-GH004-7 x BCS-GH005-8,Sí,No,Sí,No,No,Resistencia a Insectos. Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2019,"150,000.00",22.2,14/02/2019,Sin dato.,Programa Piloto,Coahuila de Zaragoza,General Cepeda,25.52169,-101.551,1
5017,22,2018,022/2018,"Bayer de México, S.A. de C.V.",BCS-GH002-5 x BCS-GH004-7 x BCS-GH005-8,Sí,No,Sí,No,No,Resistencia a Insectos. Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2019,"150,000.00",22.2,14/02/2019,Sin dato.,Programa Piloto,Coahuila de Zaragoza,Matamoros,25.54669,-103.1983,1
5023,22,2018,022/2018,"Bayer de México, S.A. de C.V.",BCS-GH002-5 x BCS-GH004-7 x BCS-GH005-8,Sí,No,Sí,No,No,Resistencia a Insectos. Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2019,"150,000.00",22.2,14/02/2019,Sin dato.,Programa Piloto,Coahuila de Zaragoza,Ocampo,27.96562,-102.8929,1
5024,22,2018,022/2018,"Bayer de México, S.A. de C.V.",BCS-GH002-5 x BCS-GH004-7 x BCS-GH005-8,Sí,No,Sí,No,No,Resistencia a Insectos. Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2019,"150,000.00",22.2,14/02/2019,Sin dato.,Programa Piloto,Coahuila de Zaragoza,Parras,25.50387,-102.1147,1
5033,22,2018,022/2018,"Bayer de México, S.A. de C.V.",BCS-GH002-5 x BCS-GH004-7 x BCS-GH005-8,Sí,No,Sí,No,No,Resistencia a Insectos. Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2019,"150,000.00",22.2,14/02/2019,Sin dato.,Programa Piloto,Coahuila de Zaragoza,San Pedro,26.08404,-102.718,1
5034,22,2018,022/2018,"Bayer de México, S.A. de C.V.",BCS-GH002-5 x BCS-GH004-7 x BCS-GH005-8,Sí,No,Sí,No,No,Resistencia a Insectos. Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2019,"150,000.00",22.2,14/02/2019,Sin dato.,Programa Piloto,Coahuila de Zaragoza,Sierra Mojada,27.48177,-103.6101,1
5035,22,2018,022/2018,"Bayer de México, S.A. de C.V.",BCS-GH002-5 x BCS-GH004-7 x BCS-GH005-8,Sí,No,Sí,No,No,Resistencia a Insectos. Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2019,"150,000.00",22.2,14/02/2019,Sin dato.,Programa Piloto,Coahuila de Zaragoza,Torreón,25.05128,-103.2083,1
5036,22,2018,022/2018,"Bayer de México, S.A. de C.V.",BCS-GH002-5 x BCS-GH004-7 x BCS-GH005-8,Sí,No,Sí,No,No,Resistencia a Insectos. Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2019,"150,000.00",22.2,14/02/2019,Sin dato.,Programa Piloto,Coahuila de Zaragoza,Viesca,25.22187,-102.925,1
8001,22,2018,022/2018,"Bayer de México, S.A. de C.V.",BCS-GH002-5 x BCS-GH004-7 x BCS-GH005-8,Sí,No,Sí,No,No,Resistencia a Insectos. Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2019,"150,000.00",22.2,14/02/2019,Sin dato.,Programa Piloto,Chihuahua,Ahumada,30.44924,-106.3807,1
8002,22,2018,022/2018,"Bayer de México, S.A. de C.V.",BCS-GH002-5 x BCS-GH004-7 x BCS-GH005-8,Sí,No,Sí,No,No,Resistencia a Insectos. Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2019,"150,000.00",22.2,14/02/2019,Sin dato.,Programa Piloto,Chihuahua,Aldama,29.07329,-105.5886,1
8003,22,2018,022/2018,"Bayer de México, S.A. de C.V.",BCS-GH002-5 x BCS-GH004-7 x BCS-GH005-8,Sí,No,Sí,No,No,Resistencia a Insectos. Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2019,"150,000.00",22.2,14/02/2019,Sin dato.,Programa Piloto,Chihuahua,Allende,27.02001,-105.436,1
8004,22,2018,022/2018,"Bayer de México, S.A. de C.V.",BCS-GH002-5 x BCS-GH004-7 x BCS-GH005-8,Sí,No,Sí,No,No,Resistencia a Insectos. Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2019,"150,000.00",22.2,14/02/2019,Sin dato.,Programa Piloto,Chihuahua,Aquiles Serdán,28.59464,-105.8344,1
8005,22,2018,022/2018,"Bayer de México, S.A. de C.V.",BCS-GH002-5 x BCS-GH004-7 x BCS-GH005-8,Sí,No,Sí,No,No,Resistencia a Insectos. Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2019,"150,000.00",22.2,14/02/2019,Sin dato.,Programa Piloto,Chihuahua,Ascensión,31.33197,-107.5199,1
8010,22,2018,022/2018,"Bayer de México, S.A. de C.V.",BCS-GH002-5 x BCS-GH004-7 x BCS-GH005-8,Sí,No,Sí,No,No,Resistencia a Insectos. Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2019,"150,000.00",22.2,14/02/2019,Sin dato.,Programa Piloto,Chihuahua,Buenaventura,29.92563,-107.0648,1
8011,22,2018,022/2018,"Bayer de México, S.A. de C.V.",BCS-GH002-5 x BCS-GH004-7 x BCS-GH005-8,Sí,No,Sí,No,No,Resistencia a Insectos. Tolerancia a herbicidas. ,Gossypium hirsutum L. ,Algodón,Primavera - Verano 2019,"150,000.00",22.2,14/02/2019,Sin dato.,Programa Piloto,Chihuahua,Camargo,28.0337,-104.4237,1
